year,conference,paper,author,institute
2023,ACL Natural Language Processing,From Pretraining Data to Language Models to Downstream Tasks: Tracking the Trails of Political Biases Leading to Unfair NLP Models,Shangbin Feng,University of Washington
2023,ACL Natural Language Processing,From Pretraining Data to Language Models to Downstream Tasks: Tracking the Trails of Political Biases Leading to Unfair NLP Models,Chan Young Park,Carnegie Mellon University
2023,ACL Natural Language Processing,From Pretraining Data to Language Models to Downstream Tasks: Tracking the Trails of Political Biases Leading to Unfair NLP Models,Yuhan Liu,Xi'an Jiaotong University
2023,ACL Natural Language Processing,From Pretraining Data to Language Models to Downstream Tasks: Tracking the Trails of Political Biases Leading to Unfair NLP Models,Yulia Tsvetkov,University of Washington
2023,CHI Human-Computer Interaction,Breaking Out of the Ivory Tower: A Large-scale Analysis of Patent Citations to HCI Research,Hancheng Cao,Stanford University
2023,CHI Human-Computer Interaction,Breaking Out of the Ivory Tower: A Large-scale Analysis of Patent Citations to HCI Research,Yujie Lu,University of California
2023,CHI Human-Computer Interaction,Breaking Out of the Ivory Tower: A Large-scale Analysis of Patent Citations to HCI Research,Yuting Deng,Carnegie Mellon University
2023,CHI Human-Computer Interaction,Breaking Out of the Ivory Tower: A Large-scale Analysis of Patent Citations to HCI Research,Daniel Mcfarland,Stanford University
2023,CHI Human-Computer Interaction,Breaking Out of the Ivory Tower: A Large-scale Analysis of Patent Citations to HCI Research,Michael S. Bernstein,Stanford University
2023,CHI Human-Computer Interaction,"Changes in Research Ethics, Openness, and Transparency in Empirical Studies between CHI 2017 and CHI 2022",Kavous Salehzadeh Niksirat,University of Lausanne
2023,CHI Human-Computer Interaction,"Changes in Research Ethics, Openness, and Transparency in Empirical Studies between CHI 2017 and CHI 2022",Lahari Goswami,University of Lausanne
2023,CHI Human-Computer Interaction,"Changes in Research Ethics, Openness, and Transparency in Empirical Studies between CHI 2017 and CHI 2022",Pooja S. B. Rao,University of Lausanne
2023,CHI Human-Computer Interaction,"Changes in Research Ethics, Openness, and Transparency in Empirical Studies between CHI 2017 and CHI 2022",James Tyler,University of Lausanne
2023,CHI Human-Computer Interaction,"Changes in Research Ethics, Openness, and Transparency in Empirical Studies between CHI 2017 and CHI 2022",Alessandro Silacci,University of Lausanne
2023,CHI Human-Computer Interaction,"Changes in Research Ethics, Openness, and Transparency in Empirical Studies between CHI 2017 and CHI 2022",Sadiq Aliyu,University of Lausanne
2023,CHI Human-Computer Interaction,"Changes in Research Ethics, Openness, and Transparency in Empirical Studies between CHI 2017 and CHI 2022",Annika Aebli,University of Lausanne
2023,CHI Human-Computer Interaction,"Changes in Research Ethics, Openness, and Transparency in Empirical Studies between CHI 2017 and CHI 2022",Chat Wacharamanotham,Swansea University
2023,CHI Human-Computer Interaction,"Changes in Research Ethics, Openness, and Transparency in Empirical Studies between CHI 2017 and CHI 2022",Mauro Cherubini,University of Lausanne
2023,CHI Human-Computer Interaction,ChartDetective: Easy and Accurate Interactive Data Extraction from Complex Vector Charts,Damien Masson,University of Waterloo
2023,CHI Human-Computer Interaction,ChartDetective: Easy and Accurate Interactive Data Extraction from Complex Vector Charts,Sylvain Malacria,UniversitÃ© de Lille
2023,CHI Human-Computer Interaction,ChartDetective: Easy and Accurate Interactive Data Extraction from Complex Vector Charts,Daniel Vogel,University of Waterloo
2023,CHI Human-Computer Interaction,ChartDetective: Easy and Accurate Interactive Data Extraction from Complex Vector Charts,Edward Lank,University of Waterloo
2023,CHI Human-Computer Interaction,ChartDetective: Easy and Accurate Interactive Data Extraction from Complex Vector Charts,GÃ©ry Casiez,UniversitÃ© de Lille
2023,CHI Human-Computer Interaction,CiteSee: Augmenting Citations in Scientific Papers with Persistent and Personalized Historical Context,Joseph Chee Chang,Allen Institute for Artificial Intelligence
2023,CHI Human-Computer Interaction,CiteSee: Augmenting Citations in Scientific Papers with Persistent and Personalized Historical Context,Amy X. Zhang,University of Washington
2023,CHI Human-Computer Interaction,CiteSee: Augmenting Citations in Scientific Papers with Persistent and Personalized Historical Context,Jonathan Bragg,Allen Institute for Artificial Intelligence
2023,CHI Human-Computer Interaction,CiteSee: Augmenting Citations in Scientific Papers with Persistent and Personalized Historical Context,Andrew Head,University of Pennsylvania
2023,CHI Human-Computer Interaction,CiteSee: Augmenting Citations in Scientific Papers with Persistent and Personalized Historical Context,Kyle Lo,Allen Institute for Artificial Intelligence
2023,CHI Human-Computer Interaction,CiteSee: Augmenting Citations in Scientific Papers with Persistent and Personalized Historical Context,Doug Downey,Allen Institute for Artificial Intelligence
2023,CHI Human-Computer Interaction,CiteSee: Augmenting Citations in Scientific Papers with Persistent and Personalized Historical Context,Daniel S. Weld,University of Washington
2023,CHI Human-Computer Interaction,Collaborating Across Realities: Analytical Lenses for Understanding Dyadic Collaboration in Transitional Interfaces,Jan-Henrik SchrÃ¶der,University of LÃ¼beck
2023,CHI Human-Computer Interaction,Collaborating Across Realities: Analytical Lenses for Understanding Dyadic Collaboration in Transitional Interfaces,Daniel Schacht,University of LÃ¼beck
2023,CHI Human-Computer Interaction,Collaborating Across Realities: Analytical Lenses for Understanding Dyadic Collaboration in Transitional Interfaces,Niklas Peper,University of LÃ¼beck
2023,CHI Human-Computer Interaction,Collaborating Across Realities: Analytical Lenses for Understanding Dyadic Collaboration in Transitional Interfaces,Anita Marie Hamurculu,University of LÃ¼beck
2023,CHI Human-Computer Interaction,Collaborating Across Realities: Analytical Lenses for Understanding Dyadic Collaboration in Transitional Interfaces,Hans-Christian Jetter,University of LÃ¼beck
2023,CHI Human-Computer Interaction,Contestable Camera Cars: A Speculative Design Exploration of Public AI That Is Open and Responsive to Dispute,Kars Alfrink,Delft University of Technology
2023,CHI Human-Computer Interaction,Contestable Camera Cars: A Speculative Design Exploration of Public AI That Is Open and Responsive to Dispute,Ianus Keller,Delft University of Technology
2023,CHI Human-Computer Interaction,Contestable Camera Cars: A Speculative Design Exploration of Public AI That Is Open and Responsive to Dispute,Neelke Doorn,Delft University of Technology
2023,CHI Human-Computer Interaction,Contestable Camera Cars: A Speculative Design Exploration of Public AI That Is Open and Responsive to Dispute,Gerd Kortuem,Delft University of Technology
2023,CHI Human-Computer Interaction,DataParticles: Block-based and Language-oriented Authoring of Animated Unit Visualization,Yining Cao,University of California
2023,CHI Human-Computer Interaction,DataParticles: Block-based and Language-oriented Authoring of Animated Unit Visualization,Jane L E,University of California
2023,CHI Human-Computer Interaction,DataParticles: Block-based and Language-oriented Authoring of Animated Unit Visualization,Zhutian Chen,Harvard University
2023,CHI Human-Computer Interaction,DataParticles: Block-based and Language-oriented Authoring of Animated Unit Visualization,Haijun Xia,University of California
2023,CHI Human-Computer Interaction,Deceptive Design Patterns in Safety Technologies: A Case Study of the Citizen App,Ishita Chordia,University of Washington
2023,CHI Human-Computer Interaction,Deceptive Design Patterns in Safety Technologies: A Case Study of the Citizen App,Lena-Phuong Tran,University of Washington
2023,CHI Human-Computer Interaction,Deceptive Design Patterns in Safety Technologies: A Case Study of the Citizen App,Tala June Tayebi,University of Washington
2023,CHI Human-Computer Interaction,Deceptive Design Patterns in Safety Technologies: A Case Study of the Citizen App,Emily Parrish,University of Washington
2023,CHI Human-Computer Interaction,Deceptive Design Patterns in Safety Technologies: A Case Study of the Citizen App,Sheena Erete,University of Maryland
2023,CHI Human-Computer Interaction,Deceptive Design Patterns in Safety Technologies: A Case Study of the Citizen App,Jason Yip,University of Washington
2023,CHI Human-Computer Interaction,Deceptive Design Patterns in Safety Technologies: A Case Study of the Citizen App,Alexis Hiniker,University of Washington
2023,CHI Human-Computer Interaction,"Disentangling Fairness Perceptions in Algorithmic Decision-Making: the Effects of Explanations, Human Oversight, and Contestability",Mireia Yurrita,Delft University of Technology
2023,CHI Human-Computer Interaction,"Disentangling Fairness Perceptions in Algorithmic Decision-Making: the Effects of Explanations, Human Oversight, and Contestability",Tim Draws,Delft University of Technology
2023,CHI Human-Computer Interaction,"Disentangling Fairness Perceptions in Algorithmic Decision-Making: the Effects of Explanations, Human Oversight, and Contestability",Agathe Balayn,Delft University of Technology
2023,CHI Human-Computer Interaction,"Disentangling Fairness Perceptions in Algorithmic Decision-Making: the Effects of Explanations, Human Oversight, and Contestability",Dave Murray-Rust,Delft University of Technology
2023,CHI Human-Computer Interaction,"Disentangling Fairness Perceptions in Algorithmic Decision-Making: the Effects of Explanations, Human Oversight, and Contestability",Nava Tintarev,Maastricht University
2023,CHI Human-Computer Interaction,"Disentangling Fairness Perceptions in Algorithmic Decision-Making: the Effects of Explanations, Human Oversight, and Contestability",Alessandro Bozzon,Delft University of Technology
2023,CHI Human-Computer Interaction,Envisioning the (In)Visibility of Discreet and Wearable AAC Devices,Humphrey Curtis,King's College London
2023,CHI Human-Computer Interaction,Envisioning the (In)Visibility of Discreet and Wearable AAC Devices,Zihao You,King's College London
2023,CHI Human-Computer Interaction,Envisioning the (In)Visibility of Discreet and Wearable AAC Devices,William Deary,King's College London
2023,CHI Human-Computer Interaction,Envisioning the (In)Visibility of Discreet and Wearable AAC Devices,Miruna-Ioana Tudoreanu,King's College London
2023,CHI Human-Computer Interaction,Envisioning the (In)Visibility of Discreet and Wearable AAC Devices,Timothy Neate,King's College London
2023,CHI Human-Computer Interaction,Evaluating Large Language Models in Generating Synthetic HCI Research Data: a Case Study,Perttu HÃ¤mÃ¤lÃ¤inen,Aalto University
2023,CHI Human-Computer Interaction,Evaluating Large Language Models in Generating Synthetic HCI Research Data: a Case Study,Mikke Tavast,Aalto University
2023,CHI Human-Computer Interaction,Evaluating Large Language Models in Generating Synthetic HCI Research Data: a Case Study,Anton Kunnari,University of Helsinki
2023,CHI Human-Computer Interaction,FIDO2 the Rescue? Platform vs. Roaming Authentication on Smartphones,Leon WÃ¼rsching,TU Darmstadt
2023,CHI Human-Computer Interaction,FIDO2 the Rescue? Platform vs. Roaming Authentication on Smartphones,Florentin Putz,TU Darmstadt
2023,CHI Human-Computer Interaction,FIDO2 the Rescue? Platform vs. Roaming Authentication on Smartphones,Steffen Haesler,TU Darmstadt
2023,CHI Human-Computer Interaction,FIDO2 the Rescue? Platform vs. Roaming Authentication on Smartphones,Matthias Hollick,TU Darmstadt
2023,CHI Human-Computer Interaction,Full-hand Electro-Tactile Feedback without Obstructing Palmar Side of Hand,Yudai Tanaka,University of Chicago
2023,CHI Human-Computer Interaction,Full-hand Electro-Tactile Feedback without Obstructing Palmar Side of Hand,Alan Shen,University of Chicago
2023,CHI Human-Computer Interaction,Full-hand Electro-Tactile Feedback without Obstructing Palmar Side of Hand,Andy Kong,University of Chicago
2023,CHI Human-Computer Interaction,Full-hand Electro-Tactile Feedback without Obstructing Palmar Side of Hand,Pedro Lopes,University of Chicago
2023,CHI Human-Computer Interaction,"Going, Going, Gone: Exploring Intention Communication for Multi-User Locomotion in Virtual Reality",Julian Rasch,Ludwig Maximilian University of Munich
2023,CHI Human-Computer Interaction,"Going, Going, Gone: Exploring Intention Communication for Multi-User Locomotion in Virtual Reality",Vladislav Dmitrievic Rusakov,Ludwig Maximilian University of Munich
2023,CHI Human-Computer Interaction,"Going, Going, Gone: Exploring Intention Communication for Multi-User Locomotion in Virtual Reality",Martin Schmitz,Saarland University
2023,CHI Human-Computer Interaction,"Going, Going, Gone: Exploring Intention Communication for Multi-User Locomotion in Virtual Reality",Florian MÃ¼ller,Ludwig Maximilian University of Munich
2023,CHI Human-Computer Interaction,Infrastructuring Care: How Trans and Non-Binary People Meet Health and Well-Being Needs through Technology,Lauren Wilcox,Google
2023,CHI Human-Computer Interaction,Infrastructuring Care: How Trans and Non-Binary People Meet Health and Well-Being Needs through Technology,Renee Shelby,Google
2023,CHI Human-Computer Interaction,Infrastructuring Care: How Trans and Non-Binary People Meet Health and Well-Being Needs through Technology,Rajesh Veeraraghavan,Georgetown University
2023,CHI Human-Computer Interaction,Infrastructuring Care: How Trans and Non-Binary People Meet Health and Well-Being Needs through Technology,Oliver L. Haimson,University of Michigan
2023,CHI Human-Computer Interaction,Infrastructuring Care: How Trans and Non-Binary People Meet Health and Well-Being Needs through Technology,Gabriela Cruz Erickson,Google
2023,CHI Human-Computer Interaction,Infrastructuring Care: How Trans and Non-Binary People Meet Health and Well-Being Needs through Technology,Michael Turken,Google
2023,CHI Human-Computer Interaction,Infrastructuring Care: How Trans and Non-Binary People Meet Health and Well-Being Needs through Technology,Rebecca Gulotta,Google
2023,CHI Human-Computer Interaction,Investigating the Role of Context in the Delivery of Text Messages for Supporting Psychological Wellbeing,Ananya Bhattacharjee,University of Toronto
2023,CHI Human-Computer Interaction,Investigating the Role of Context in the Delivery of Text Messages for Supporting Psychological Wellbeing,Joseph Jay Williams,University of Toronto
2023,CHI Human-Computer Interaction,Investigating the Role of Context in the Delivery of Text Messages for Supporting Psychological Wellbeing,Jonah Meyerhoff,Northwestern University
2023,CHI Human-Computer Interaction,Investigating the Role of Context in the Delivery of Text Messages for Supporting Psychological Wellbeing,Harsh Kumar,University of Toronto
2023,CHI Human-Computer Interaction,Investigating the Role of Context in the Delivery of Text Messages for Supporting Psychological Wellbeing,Alex Mariakakis,University of Toronto
2023,CHI Human-Computer Interaction,Investigating the Role of Context in the Delivery of Text Messages for Supporting Psychological Wellbeing,Rachel Kornfield,Northwestern University
2023,CHI Human-Computer Interaction,Kaleidoscope: A Reflective Documentation Tool for a User Interface Design Course,Sarah Sterman,University of California
2023,CHI Human-Computer Interaction,Kaleidoscope: A Reflective Documentation Tool for a User Interface Design Course,Molly Jane Nicholas,University of California
2023,CHI Human-Computer Interaction,Kaleidoscope: A Reflective Documentation Tool for a User Interface Design Course,Janaki Vivrekar,University of California
2023,CHI Human-Computer Interaction,Kaleidoscope: A Reflective Documentation Tool for a User Interface Design Course,Jessica R Mindel,University of California
2023,CHI Human-Computer Interaction,Kaleidoscope: A Reflective Documentation Tool for a User Interface Design Course,Eric Paulos,University of California
2023,CHI Human-Computer Interaction,LipLearner: Customizable Silent Speech Interactions on Mobile Devices,Zixiong Su,University of Tokyo
2023,CHI Human-Computer Interaction,LipLearner: Customizable Silent Speech Interactions on Mobile Devices,Shitao Fang,University of Tokyo
2023,CHI Human-Computer Interaction,LipLearner: Customizable Silent Speech Interactions on Mobile Devices,Jun Rekimoto,University of Tokyo
2023,CHI Human-Computer Interaction,Paying the Price: When Intimate Partners Use Technology for Financial Harm,Rosanna Bellini,Cornell University
2023,CHI Human-Computer Interaction,"Playing with Feedback: Unpredictability, Immediacy, and Entangled Agency in the No-input Mixing Desk",Tom Mudd,University of Edinburgh
2023,CHI Human-Computer Interaction,Probing a Community-Based Conversational Storytelling Agent to Document Digital Stories of Housing Insecurity,Brett A. Halperin,University of Washington
2023,CHI Human-Computer Interaction,Probing a Community-Based Conversational Storytelling Agent to Document Digital Stories of Housing Insecurity,Gary Hsieh,University of Washington
2023,CHI Human-Computer Interaction,Probing a Community-Based Conversational Storytelling Agent to Document Digital Stories of Housing Insecurity,Erin McElroy,University of Texas at Austin
2023,CHI Human-Computer Interaction,Probing a Community-Based Conversational Storytelling Agent to Document Digital Stories of Housing Insecurity,James Pierce,University of Washington
2023,CHI Human-Computer Interaction,Probing a Community-Based Conversational Storytelling Agent to Document Digital Stories of Housing Insecurity,Daniela K. Rosner,University of Washington
2023,CHI Human-Computer Interaction,"Rethinking ""Risk"" in Algorithmic Systems Through A Computational Narrative Analysis of Casenotes in Child Welfare",Devansh Saxena,Marquette University
2023,CHI Human-Computer Interaction,"Rethinking ""Risk"" in Algorithmic Systems Through A Computational Narrative Analysis of Casenotes in Child Welfare",Erina Seh-Young Moon,University of Toronto
2023,CHI Human-Computer Interaction,"Rethinking ""Risk"" in Algorithmic Systems Through A Computational Narrative Analysis of Casenotes in Child Welfare",Aryan Chaurasia,University of Toronto
2023,CHI Human-Computer Interaction,"Rethinking ""Risk"" in Algorithmic Systems Through A Computational Narrative Analysis of Casenotes in Child Welfare",Yixin Guan,University of Toronto
2023,CHI Human-Computer Interaction,"Rethinking ""Risk"" in Algorithmic Systems Through A Computational Narrative Analysis of Casenotes in Child Welfare",Shion Guha,University of Toronto
2023,CHI Human-Computer Interaction,SAWSense: Using Surface Acoustic Waves for Surface-bound Event Recognition,Yasha Iravantchi,University of Michigan
2023,CHI Human-Computer Interaction,SAWSense: Using Surface Acoustic Waves for Surface-bound Event Recognition,Yi Zhao,University of Michigan
2023,CHI Human-Computer Interaction,SAWSense: Using Surface Acoustic Waves for Surface-bound Event Recognition,Kenrick Kin,Meta
2023,CHI Human-Computer Interaction,SAWSense: Using Surface Acoustic Waves for Surface-bound Event Recognition,Alanson P. Sample,University of Michigan
2023,CHI Human-Computer Interaction,Sensorimotor Simulation of Redirected Reaching using Stochastic Optimal Feedback Control,Eric J Gonzalez,Stanford University
2023,CHI Human-Computer Interaction,Sensorimotor Simulation of Redirected Reaching using Stochastic Optimal Feedback Control,Sean Follmer,Stanford University
2023,CHI Human-Computer Interaction,Take My Hand: Automated Hand-Based Spatial Guidance for the Visually Impaired,Adil Rahman,University of Virginia
2023,CHI Human-Computer Interaction,Take My Hand: Automated Hand-Based Spatial Guidance for the Visually Impaired,Md Aashikur Rahman Azim,University of Virginia
2023,CHI Human-Computer Interaction,Take My Hand: Automated Hand-Based Spatial Guidance for the Visually Impaired,Seongkook Heo,University of Virginia
2023,CHI Human-Computer Interaction,The Halting problem: Video analysis of self-driving cars in traffic,Barry Brown,University of Copenhagen
2023,CHI Human-Computer Interaction,The Halting problem: Video analysis of self-driving cars in traffic,Mathias Broth,IKOS
2023,CHI Human-Computer Interaction,The Halting problem: Video analysis of self-driving cars in traffic,Erik Vinkhuyzen,King's College London
2023,CHI Human-Computer Interaction,The Nuanced Nature of Trust and Privacy Control Adoption in the Context of Google,Ehsan Ul Haque,University of Connecticut
2023,CHI Human-Computer Interaction,The Nuanced Nature of Trust and Privacy Control Adoption in the Context of Google,Mohammad Maifi Hasan Khan,University of Connecticut
2023,CHI Human-Computer Interaction,The Nuanced Nature of Trust and Privacy Control Adoption in the Context of Google,Md Abdullah Al Fahim,University of Connecticut
2023,CHI Human-Computer Interaction,The Walking Talking Stick: Understanding Automated Note-Taking in Walking Meetings,Luke Haliburton,Ludwig Maximilian University of Munich
2023,CHI Human-Computer Interaction,The Walking Talking Stick: Understanding Automated Note-Taking in Walking Meetings,Natalia BartÅomiejczyk,Lodz University of Technology
2023,CHI Human-Computer Interaction,The Walking Talking Stick: Understanding Automated Note-Taking in Walking Meetings,Albrecht Schmidt,Ludwig Maximilian University of Munich
2023,CHI Human-Computer Interaction,The Walking Talking Stick: Understanding Automated Note-Taking in Walking Meetings,PaweÅ W. WoÅºniak,Chalmers University of Technology
2023,CHI Human-Computer Interaction,The Walking Talking Stick: Understanding Automated Note-Taking in Walking Meetings,Jasmin Niess,University of St. Gallen
2023,CHI Human-Computer Interaction,Understanding Context to Capture when Reconstructing Meaningful Spaces for Remote Instruction and Connecting in XR,Hanuma Teja Maddali,University of Maryland
2023,CHI Human-Computer Interaction,Understanding Context to Capture when Reconstructing Meaningful Spaces for Remote Instruction and Connecting in XR,Amanda Lazar,University of Maryland
2023,CHI Human-Computer Interaction,Understanding Frontline Workersâ and Unhoused Individualsâ Perspectives on AI Used in Homeless Services,Tzu-Sheng Kuo,Carnegie Mellon University
2023,CHI Human-Computer Interaction,Understanding Frontline Workersâ and Unhoused Individualsâ Perspectives on AI Used in Homeless Services,Hong Shen,Carnegie Mellon University
2023,CHI Human-Computer Interaction,Understanding Frontline Workersâ and Unhoused Individualsâ Perspectives on AI Used in Homeless Services,Jisoo Geum,Carnegie Mellon University
2023,CHI Human-Computer Interaction,Understanding Frontline Workersâ and Unhoused Individualsâ Perspectives on AI Used in Homeless Services,Nev Jones,University of Pittsburgh
2023,CHI Human-Computer Interaction,Understanding Frontline Workersâ and Unhoused Individualsâ Perspectives on AI Used in Homeless Services,Jason I. Hong,Carnegie Mellon University
2023,CHI Human-Computer Interaction,Understanding Frontline Workersâ and Unhoused Individualsâ Perspectives on AI Used in Homeless Services,Haiyi Zhu,Carnegie Mellon University
2023,CHI Human-Computer Interaction,Understanding Frontline Workersâ and Unhoused Individualsâ Perspectives on AI Used in Homeless Services,Kenneth Holstein,Carnegie Mellon University
2023,CHI Human-Computer Interaction,Understanding the Benefits and Challenges of Deploying Conversational AI Leveraging Large Language Models for Public Health Intervention,Eunkyung Jo,University of California
2023,CHI Human-Computer Interaction,Understanding the Benefits and Challenges of Deploying Conversational AI Leveraging Large Language Models for Public Health Intervention,Daniel A. Epstein,University of California
2023,CHI Human-Computer Interaction,Understanding the Benefits and Challenges of Deploying Conversational AI Leveraging Large Language Models for Public Health Intervention,Hyunhoon Jung,NAVER
2023,CHI Human-Computer Interaction,Understanding the Benefits and Challenges of Deploying Conversational AI Leveraging Large Language Models for Public Health Intervention,Young-Ho Kim,NAVER
2023,CHI Human-Computer Interaction,What Do We Mean When We Talk about Trust in Social Media? A Systematic Review,Yixuan Zhang,Georgia Institute of Technology
2023,CHI Human-Computer Interaction,What Do We Mean When We Talk about Trust in Social Media? A Systematic Review,Joseph D Gaggiano,Georgia Institute of Technology
2023,CHI Human-Computer Interaction,What Do We Mean When We Talk about Trust in Social Media? A Systematic Review,Nutchanon Yongsatianchot,Northeastern University
2023,CHI Human-Computer Interaction,What Do We Mean When We Talk about Trust in Social Media? A Systematic Review,Nurul M Suhaimi,Universiti Malaysia Pahang
2023,CHI Human-Computer Interaction,What Do We Mean When We Talk about Trust in Social Media? A Systematic Review,Miso Kim,Northeastern University
2023,CHI Human-Computer Interaction,What Do We Mean When We Talk about Trust in Social Media? A Systematic Review,Yifan Sun,William &amp; Mary
2023,CHI Human-Computer Interaction,What Do We Mean When We Talk about Trust in Social Media? A Systematic Review,Jacqueline Griffin,Northeastern University
2023,CHI Human-Computer Interaction,What Do We Mean When We Talk about Trust in Social Media? A Systematic Review,Andrea G Parker,Georgia Institute of Technology
2023,CHI Human-Computer Interaction,Who Do We Mean When We Talk About Visualization Novices?,Alyxander Burns,University of Massachusetts Amherst
2023,CHI Human-Computer Interaction,Who Do We Mean When We Talk About Visualization Novices?,Christiana Lee,University of Massachusetts Amherst
2023,CHI Human-Computer Interaction,Who Do We Mean When We Talk About Visualization Novices?,Ria Chawla,University of Massachusetts Amherst
2023,CHI Human-Computer Interaction,Who Do We Mean When We Talk About Visualization Novices?,Evan Peck,Bucknell University
2023,CHI Human-Computer Interaction,Who Do We Mean When We Talk About Visualization Novices?,Narges Mahyar,University of Massachusetts Amherst
2023,CHI Human-Computer Interaction,"'Treat me as your friend, not a number in your database': Co-designing with Children to Cope with Datafication Online",Ge Wang,University of Oxford
2023,CHI Human-Computer Interaction,"'Treat me as your friend, not a number in your database': Co-designing with Children to Cope with Datafication Online",Jun Zhao,University of Oxford
2023,CHI Human-Computer Interaction,"'Treat me as your friend, not a number in your database': Co-designing with Children to Cope with Datafication Online",Max Van Kleek,University of Oxford
2023,CHI Human-Computer Interaction,"'Treat me as your friend, not a number in your database': Co-designing with Children to Cope with Datafication Online",Nigel Shadbolt,University of Oxford
2023,CHI Human-Computer Interaction,"""My Zelda Cane"": Strategies Used by Blind Players to Play Visual-Centric Digital Games",David GonÃ§alves,University of Lisbon
2023,CHI Human-Computer Interaction,"""My Zelda Cane"": Strategies Used by Blind Players to Play Visual-Centric Digital Games",Manuel PiÃ§arra,University of Lisbon
2023,CHI Human-Computer Interaction,"""My Zelda Cane"": Strategies Used by Blind Players to Play Visual-Centric Digital Games",Pedro Pais,University of Lisbon
2023,CHI Human-Computer Interaction,"""My Zelda Cane"": Strategies Used by Blind Players to Play Visual-Centric Digital Games",JoÃ£o Guerreiro,University of Lisbon
2023,CHI Human-Computer Interaction,"""My Zelda Cane"": Strategies Used by Blind Players to Play Visual-Centric Digital Games",AndrÃ© Rodrigues,University of Lisbon
2023,CIKM Knowledge Management,Joint Rebalancing and Charging for Shared Electric Micromobility Vehicles with Energy-informed Demand,Heng Tan,Lehigh University
2023,CIKM Knowledge Management,Joint Rebalancing and Charging for Shared Electric Micromobility Vehicles with Energy-informed Demand,Yukun Yuan,University of Tennessee at Chattanooga
2023,CIKM Knowledge Management,Joint Rebalancing and Charging for Shared Electric Micromobility Vehicles with Energy-informed Demand,Shuxin Zhong,Rutgers University
2023,CIKM Knowledge Management,Joint Rebalancing and Charging for Shared Electric Micromobility Vehicles with Energy-informed Demand,Yu Yang,Lehigh University
2023,CVPR Computer Vision,Visual Programming: Compositional visual reasoning without training,Tanmay Gupta,Allen Institute for Artificial Intelligence
2023,CVPR Computer Vision,Visual Programming: Compositional visual reasoning without training,Aniruddha Kembhavi,Allen Institute for Artificial Intelligence
2023,CVPR Computer Vision,Planning-oriented Autonomous Driving,Yihan Hu,Shanghai AI Laboratory
2023,CVPR Computer Vision,Planning-oriented Autonomous Driving,Jiazhi Yang,Shanghai AI Laboratory
2023,CVPR Computer Vision,Planning-oriented Autonomous Driving,Li Chen,Shanghai AI Laboratory
2023,CVPR Computer Vision,Planning-oriented Autonomous Driving,Keyu Li,Shanghai AI Laboratory
2023,CVPR Computer Vision,Planning-oriented Autonomous Driving,Chonghao Sima,Shanghai AI Laboratory
